City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,shingu,33.7333,135.9833,25.2,94,73,1.37,JP,1722886201
360,miagao,10.6442,122.2352,25.46,91,100,3.37,PH,1722886202
361,ciudad lazaro cardenas,17.9583,-102.2,29.83,66,100,3.38,MX,1722886204
362,kavieng,-2.5744,150.7967,27.53,78,100,5.12,PG,1722886205
363,hamilton,39.1834,-84.5333,34.49,52,0,2.57,US,1722886206
364,bandar lampung,-5.4254,105.258,21.88,97,87,0.97,ID,1722886207
365,oriximina,-1.7656,-55.8661,34.63,33,5,3.78,BR,1722886208
366,valentin gomez farias,28.2167,-106.5833,29.33,28,53,6.4,MX,1722886209
367,talara,-4.5772,-81.2719,24.42,64,0,6.17,PE,1722886210
368,sept-iles,50.2001,-66.3821,23.36,43,75,6.69,CA,1722886211
369,la roche-sur-yon,46.6667,-1.4333,22.15,73,0,2.57,FR,1722886212
370,keyser,39.4409,-78.9739,36.81,35,0,2.91,US,1722886214
371,nishinoomote,30.7333,131.0,28.19,78,31,2.86,JP,1722886215
372,khalabat,34.06,72.8894,29.19,74,54,1.14,PK,1722886216
373,karonga,-9.9333,33.9333,19.86,59,5,1.84,MW,1722886217
374,fereydun kenar,36.6864,52.5225,28.12,83,0,0.0,IR,1722886218
375,mejit,10.2753,170.8646,28.33,79,100,6.75,MH,1722886219
376,hotan,37.0997,79.9269,29.89,27,84,1.83,CN,1722886220
377,aykhal,66.0,111.5,8.76,85,82,6.55,RU,1722886221
378,thunder bay,48.4001,-89.3168,23.99,35,100,4.12,CA,1722886185
379,bridgewater,44.3835,-64.5155,30.06,67,3,5.14,CA,1722886223
380,tual,-5.6667,132.75,25.27,85,89,9.38,ID,1722886225
381,bikenibeu village,1.3673,173.1241,28.96,62,98,5.47,KI,1722886226
382,nizhnyaya omka,55.4338,74.9426,14.74,93,21,2.7,RU,1722886227
383,anloga,5.7947,0.8973,24.17,86,64,7.26,GH,1722886228
384,bayanga,7.5214,124.2522,21.35,88,100,1.34,PH,1722886229
385,bhinga,27.7167,81.9333,27.42,84,99,2.26,IN,1722886230
386,bannu,32.9854,70.6027,33.5,55,57,1.99,PK,1722886231
387,greenville,35.6127,-77.3663,31.01,75,75,3.6,US,1722886232
388,lucapa,-8.4192,20.7447,23.52,20,5,1.08,AO,1722886233
389,dolores hidalgo cuna de la independencia nacional,21.1561,-100.9308,24.37,32,5,3.54,MX,1722886235
390,belmonte,-15.8631,-38.8828,23.4,69,27,2.8,BR,1722886236
391,ebaye,8.7748,167.7392,27.01,89,0,1.54,MH,1722886237
392,galle,6.0367,80.217,28.29,83,98,4.84,LK,1722886238
393,timimoun,29.2639,0.231,42.21,10,0,1.54,DZ,1722886205
394,dunedin,-45.8742,170.5036,6.0,79,22,0.45,NZ,1722886240
395,ujae,8.9322,165.7642,28.81,72,64,2.94,MH,1722886241
396,san antonio,29.4241,-98.4936,36.95,45,20,1.54,US,1722886178
397,ola,59.5833,151.2833,13.0,82,100,1.38,RU,1722886243
398,cabreuva,-23.3075,-47.1328,29.15,25,0,0.75,BR,1722886244
399,arcadia,34.1397,-118.0353,40.71,29,0,3.09,US,1722886245
400,casimiro de abreu,-22.4806,-42.2042,29.88,57,57,0.53,BR,1722886247
401,cill airne,52.05,-9.5167,12.66,86,43,2.24,IE,1722886248
402,nadym,65.5333,72.5167,7.86,70,49,5.49,RU,1722886249
403,al jawf,29.5,38.75,29.13,16,0,3.53,SA,1722886250
404,huai'an,33.5886,119.0192,26.99,87,0,2.82,CN,1722886252
405,udachny,66.4167,112.4,10.22,87,100,7.76,RU,1722886253
406,acoyapa,11.9703,-85.1711,34.05,66,68,5.87,NI,1722886254
407,nikolayevsk-on-amure,53.1406,140.73,14.94,83,100,1.65,RU,1722886083
